S.No,Set,Full Name,Country,Age,Role,Batting Hand,Bowling Style,Capped/Uncapped,Base-Price
538,UAL9,Kartik Chadha,India,21,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,Uncapped,30
539,UAL9,Writtick Chatterjee,India,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
540,UAL9,Prerit Dutta,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
541,UAL9,Rajneesh Gurbani,India,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
542,UAL9,Shubhang Hegde,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
543,UAL9,Saransh Jain,India,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
544,UAL9,Ripal Patel,India,29,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
545,UAL9,Akash Vashisht,India,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
546,UFA9,Anirudh Kanwar,India,31,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
547,UFA9,Shubham Kapse,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
548,UFA9,Atif Mushtaq,India,22,BOWLER,LHB,RIGHT ARM Fast,Uncapped,30
549,UFA9,Dipesh Parwani,India,25,BOWLER,LHB,LEFT ARM Fast Medium,Uncapped,30
550,UFA9,Manish Reddy,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
551,UFA9,Chetan Sharma,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30
552,UFA9,Avinash Singh,India,26,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
553,AL10,Alick Athanaze,West Indies,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,75
554,AL10,Hilton Cartwright,Australia,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,75
555,AL10,Dominic Drakes,West Indies,27,ALL-ROUNDER,LHB,LEFT ARM Fast,Capped,125
556,FA10,Daryn Dupavillon,South Africa,30,BOWLER,RHB,RIGHT ARM Fast,Capped,75
557,AL10,Matthew Forde,West Indies,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,125
558,AL10,Patrick Kruger,South Africa,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,75
559,FA10,Lahiru Kumara,Sri Lanka,28,BOWLER,LHB,RIGHT ARM Fast,Capped,75
560,AL10,Michael Neser,Australia,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Capped,75
561,FA10,Richard Ngarava,Zimbabwe,27,BOWLER,LHB,LEFT ARM Fast Medium,Capped,75
562,FA10,Wayne Parnell,South Africa,35,BOWLER,LHB,LEFT ARM Fast Medium,Capped,100
563,AL10,Keemo Paul,West Indies,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,125
564,AL10,Odean Smith,West Indies,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,75
565,FA10,Andrew Tye,Australia,38,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,75
566,UAL10,Ajay Ahlawat,India,27,ALL-ROUNDER,LHB,LEFT ARM Fast,Uncapped,40
567,UAL10,Corbin Bosch,South Africa,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
568,UAL10,Mayank Gusain,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
569,UAL10,Mukhtar Hussain,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
570,UAL10,Girinath Reddy,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
571,UAL10,Jalaj Saxena,India,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,40
572,UAL10,Yajas Sharma,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
573,UAL10,Sanjay Yadav,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
574,UFA10,Vishal Godara,India,22,BOWLER,LHB,RIGHT ARM Medium,Uncapped,30
575,UFA10,Eshan Malinga,Sri Lanka,24,BOWLER,LHB,RIGHT ARM Fast,Uncapped,30
576,UFA10,Samarth Nagraj,India,19,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
577,UFA10,Abhishek Saini,India,26,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
578,UFA10,Dumindu Sewmina,Sri Lanka,20,BOWLER,RHB,RIGHT ARM Medium,Uncapped,30
579,UFA10,Pradyuman Kumar Singh,India,23,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
580,UFA10,Vasu Vats,India,22,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
581,UAL11,Umang Kumar,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
582,UAL11,Mohamed Ali,India,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
583,UAL11,Atharva Ankolekar,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
584,UAL11,Vaisakh Chandran,India,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
585,UAL11,Auqib Dar,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
586,UAL11,Rohit Rayudu,India,30,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
587,UAL11,Uday Saharan,India,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
588,UAL11,Ayush Vartak,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
589,UAL12,Baba Aparajith,India,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
590,UAL12,Sumit Kumar Beniwal,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
591,UAL12,Nishunk Birla,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30
592,UAL12,Digvijay Deshmukh,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
593,UAL12,Lakshay Jain,India,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
594,UAL12,Duan Jansen,South Africa,24,ALL-ROUNDER,RHB,LEFT ARM Fast,Uncapped,30
595,UAL12,Kritagya Singh,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
596,UAL12,P. Vignesh,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
597,UAL13,Sabhay Chadha,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
598,UAL13,Ben Howell,England,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,50
599,UAL13,Hemanth Kumar,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
600,UAL13,Rohan Rana,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30
601,UAL13,Bharat Sharma,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
602,UAL13,Pratham Singh,India,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30
603,UAL13,Tripurana Vijay,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
604,UAL13,Ravi Yadav,India,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
605,UAL14,Arjun Azad,India,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
606,UAL14,Abhay Choudhary,India,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
607,UAL14,Gaurav Gambhir,India,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
608,UAL14,Shubham Garhwal,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
609,UAL14,Tejasvi Jaiswal,India,28,ALL-ROUNDER,LHB,RIGHT ARM Fast,Uncapped,30
610,UAL14,Sairaj Patil,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
611,UAL14,Madhav Tiwari,India,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
612,UAL14,Kamal Tripathi,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
613,UAL15,Prashant Chauhan,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30
614,UAL15,Yash Dabas,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30
615,UAL15,Dhruv Kaushik,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
616,UAL15,Khrievitso Kense,India,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30
617,UAL15,Akash Parkar,India,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
618,UAL15,Vignesh Puthur,India,24,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,Uncapped,30
619,UAL15,Tripuresh Singh,India,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,30
620,UAL15,Vijay Yadav,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30
